country,date,leverage,lev_growth
RO,2011 Q4,1.2114453916412464,-0.03523128746913029
RU,2011 Q4,1.1054165858133258,-0.06335480449469455
SE,2011 Q4,2.113209048055968,-0.024284274328798094
SG,2011 Q4,0.8787272970468247,0.012919492861633408
SI,2011 Q4,1.5644314800257197,-0.03632713410198973
SK,2011 Q4,1.0550032626161798,0.028200310376664817
TH,2011 Q4,1.0477727997479547,0.0023317131402134095
TR,2011 Q4,0.9956021008827176,0.011251666150316364
US,2011 Q4,0.9450522294499839,0.007182722778770856
ZA,2011 Q4,1.100356603053579,-0.030720813669450342
AR,2012 Q1,0.7692330982222944,-0.024121905117699627
AT,2012 Q1,1.2683840070767847,-0.03462870962275533
AU,2012 Q1,1.4670336671081323,0.007323924549265781
BE,2012 Q1,0.5875567665758401,-0.0033423067769008385
BG,2012 Q1,1.079786954382584,-0.01907761789559337
BO,2012 Q1,0.8171147729965967,-0.006140599388131385
BR,2012 Q1,1.116963347371576,-0.04046459675303771
BY,2012 Q1,0.89324132802919,-0.26833944951071276
CA,2012 Q1,1.2151360823902964,0.04150267963345211
CH,2012 Q1,1.121012354734098,0.010505195409654888
CL,2012 Q1,1.6023125191003538,-0.020097475428150435
CN,2012 Q1,2.753868457029617,0.24190062108537314
CO,2012 Q1,1.7409152303139075,0.06104914713885101
CR,2012 Q1,1.888133816677106,0.021907338688134326
CY,2012 Q1,1.0834682729883196,-0.005452347508857036
CZ,2012 Q1,0.8009718954806048,3.6939369084398876e-4
DE,2012 Q1,1.157614931830375,-0.0090031423556447
DK,2012 Q1,3.7357697325084276,0.026772526538534347
EE,2012 Q1,1.4692838556397783,0.021758446890330685
ES,2012 Q1,1.756962387759965,-0.03324205505526989
FI,2012 Q1,1.4722086509022214,0.07401729481077135
FR,2012 Q1,1.2475074687445429,-0.024776002967267008
GB,2012 Q1,1.358468742569894,0.0010934172614571747
GR,2012 Q1,1.4207015839543176,0.04365793930226469
HR,2012 Q1,1.2568314283551585,0.015355149249946631
HU,2012 Q1,1.155631205501572,-0.020503091557663833
ID,2012 Q1,0.8341548119281058,0.01024480602106237
IE,2012 Q1,0.9764972041198587,-0.029264687344350504
IL,2012 Q1,1.06412208944944,0.011606788320746464
IS,2012 Q1,1.6398645818008133,0.025624450094862583
IT,2012 Q1,1.3341440471487747,-0.011869160060418826
JP,2012 Q1,0.4718018970125907,-0.004174467109566593
